Id,Region,Garden/Balcony,Base Rent,Construction Year,Living Space,Lift and Floor,Rooms,Parking Spaces,Condition,Additional Cost,nrPicks
109819227,Konstanz Kreis,balcony,1248,1983,80,lift + floor 1,3.5,1,fully renovated,200,7
109863374,Breisgau Hochschwarzwald Kreis,balcony,830,1980,63.44,no lift + floor 3,3,1,well kept,100,6
109895946,Rems Murr Kreis,balcony,1850,1973,200,lift + floor 4,3.5,2,well kept,300,6
109960432,Ludwigsburg Kreis,balcony,900,1994,57.24,no lift + floor 2,2,1,mint condition,120,7
110074037,Stuttgart,balcony,950,1800,72,no lift + floor 1,2,1,well kept,175,6
110091157,Reutlingen Kreis,both,980,2017,93,no lift + floor 0,4.5,1,mint condition,280,7
110186595,Breisgau Hochschwarzwald Kreis,both,1200,1973,108,no lift + floor 2,4,1,fully renovated,250,7
110211232,Schwäbisch Hall Kreis,garden,779,2019,82,no lift + floor 2,3,2,first time use,120,7
110235698,Stuttgart,both,850,1993,69,no lift + floor 1,1.5,1,well kept,150,7
110271709,Stuttgart,balcony,2150,1880,129,no lift + floor 4,4,1,well kept,350,7
110307393,Ludwigsburg Kreis,balcony,1700,2019,113.84,lift + floor 1,3.5,1,first time use,290,6
110327455,Reutlingen Kreis,balcony,1099,1994,95,no lift + floor 2,3,1,well kept,200,7
110381917,Stuttgart,balcony,2036,2017,120,lift + floor 6,4,1,well kept,120,6
110383287,Schwäbisch Hall Kreis,both,1150,2019,116.18,lift + floor 3,3,2,first time use,300,7
110384556,Ortenaukreis,balcony,880,1993,147,lift + floor 4,4,1,well kept,275,6
110459310,Stuttgart,none,1900,1910,200,no lift + floor 4,4.5,2,refurbished,470,7
110459403,Breisgau Hochschwarzwald Kreis,balcony,1115,1900,124,no lift + floor 2,4,2,well kept,200,7
110485434,Schwäbisch Hall Kreis,balcony,766,2019,90,lift + floor 4,2,1,first time use,162,7
110509110,Waldshut Kreis,both,1050,2019,86.7,lift + floor 1,3,1,first time use,240,7
110516823,Ostalbkreis,none,470,1975,62,no lift + floor 3,2,1,well kept,125,6
110545909,Ludwigsburg Kreis,both,1290,2018,115,lift + floor 3,4.5,1,mint condition,230,6
110550148,Konstanz Kreis,both,882,2009,98,lift + floor 0,3.5,1,fully renovated,250,7
110565942,Schwarzwald Baar Kreis,both,1250,2019,126,lift + floor 2,4,2,first time use,210,7
110578703,Reutlingen Kreis,both,766,2018,62,lift + floor 1,2,1,mint condition,227,7
110579409,Ortenaukreis,both,900,1980,98,no lift + floor 2,4.5,2,fully renovated,200,6
110595201,Rastatt Kreis,balcony,790.5,1880,93,no lift + floor 2,2,1,refurbished,186,7
110650495,Ravensburg Kreis,balcony,1350,1964,126,no lift + floor 2,4.5,1,fully renovated,250,6
110678799,Reutlingen Kreis,balcony,1290,1984,128,no lift + floor 4,4,2,well kept,290,6
110792032,Pforzheim,balcony,650,1999,75,no lift + floor 4,3,1,well kept,200,7
110856202,Pforzheim,balcony,1300,1967,142,lift + floor 4,5,1,well kept,532.75,7
110881816,Stuttgart,balcony,1760,1911,105,no lift + floor 5,3.5,1,well kept,185,6
110884561,Pforzheim,both,920,1995,92,no lift + floor 0,2,2,well kept,220,6
110910281,Bodenseekreis,balcony,1900,2014,152.81,lift + floor 2,3.5,2,mint condition,250,7
110953644,Freiburg im Breisgau,balcony,1630,2004,167,no lift + floor 2,4.5,1,fully renovated,250,7
111093599,Enzkreis,both,995,1965,107.35,no lift + floor 1,3,1,well kept,98,6
111125075,Heidelberg,balcony,465,1997,47.5,no lift + floor 2,2,1,well kept,100,7
111160080,Stuttgart,balcony,1550,1910,80,no lift + floor 5,2.5,0,mint condition,70,6
111161515,Waldshut Kreis,balcony,1850,2019,152,lift + floor 4,5.5,1,first time use,350,7
111163272,Konstanz Kreis,balcony,820,1992,45,no lift + floor 2,1.5,1,fully renovated,130,6
111164231,Ostalbkreis,balcony,740,1999,105,no lift + floor 2,3.5,1,mint condition,200,6
111209353,Reutlingen Kreis,both,890,2019,80,no lift + floor 1,3,1,first time use,100,7
111213508,Ravensburg Kreis,both,650,1983,80,no lift + floor 1,2.5,1,fully renovated,150,7
111215898,Freiburg im Breisgau,balcony,890,2012,70,lift + floor 2,2,1,mint condition,140,7
111217027,Stuttgart,balcony,2131,2015,118,lift + floor 6,2,1,mint condition,230,7
111218020,Waldshut Kreis,balcony,1200,1971,130,lift + floor 5,3.5,2,refurbished,300,7
111220172,Rems Murr Kreis,both,750,1993,86,no lift + floor 1,4,1,well kept,175,7
111225428,Göppingen Kreis,balcony,940,2015,100,lift + floor 1,3,1,mint condition,200,7
111229528,Stuttgart,balcony,1800,1990,106,no lift + floor 2,3.5,1,mint condition,345,7
111230417,Stuttgart,garden,900,1953,60,no lift + floor 0,3,1,fully renovated,195,6
111233611,Bodenseekreis,both,760,2016,63,lift + floor 0,2,1,mint condition,150,6
111238689,Ortenaukreis,garden,1000,1935,125,no lift + floor 1,4,1,fully renovated,220,6
111240158,Enzkreis,balcony,750,1998,98,no lift + floor 2,2.5,1,well kept,100,7
111240465,Stuttgart,balcony,1350,2007,98,lift + floor 1,3,1,well kept,220,6
111255600,Rems Murr Kreis,balcony,993,2013,102,lift + floor 1,5,1,mint condition,252,7
111264383,Ostalbkreis,balcony,720,2016,84,no lift + floor 0,3.5,1,mint condition,150,7
111264499,Ludwigsburg Kreis,balcony,1380,2018,146,lift + floor 3,6,1,mint condition,290,6
111269293,Reutlingen Kreis,none,775,1970,103,no lift + floor 2,4,1,well kept,170,6
111275936,Göppingen Kreis,balcony,750,2019,90,lift + floor 2,2.5,1,well kept,200,7
111276454,Freiburg im Breisgau,balcony,850,1985,80,lift + floor 0,3,1,fully renovated,200,6
111280574,Pforzheim,balcony,560,1896,64,no lift + floor 2,2,1,refurbished,180,6
111319328,Ludwigsburg Kreis,none,700,1963,72,no lift + floor 2,3,1,mint condition,200,7
111324318,Ludwigsburg Kreis,balcony,950,1983,84,lift + floor 0,3.5,1,well kept,340,7
111326609,Heidelberg,balcony,1280,2013,101.2,lift + floor 3,4,1,well kept,240,7
111327832,Ludwigsburg Kreis,balcony,750,1985,65,no lift + floor 4,2.5,1,refurbished,125,7
111329128,Göppingen Kreis,balcony,570,1905,67,no lift + floor 2,2,1,well kept,100,7
111329272,Enzkreis,balcony,1010,2019,112,lift + floor 2,4,1,first time use,280,7
111331669,Ravensburg Kreis,balcony,470,1991,54,lift + floor 2,2,1,fully renovated,120,7
111338571,Ravensburg Kreis,both,800,1970,106,no lift + floor 1,4,2,fully renovated,250,7
111338945,Enzkreis,balcony,580,1994,62,no lift + floor 1,2,1,well kept,140,7
111351400,Enzkreis,balcony,700,1973,75,no lift + floor 3,3.5,1,fully renovated,125,7
111352523,Ravensburg Kreis,both,1200,2000,126,no lift + floor 1,4,4,well kept,350,7
111359043,Ostalbkreis,both,650,1953,85,no lift + floor 0,4,1,well kept,150,7
111370005,Ortenaukreis,balcony,900,2019,96,lift + floor 1,3,1,first time use,200,7
111370654,Enzkreis,none,520,1992,64,no lift + floor 3,3,1,well kept,50,7
111374883,Heidelberg,none,715,1730,45,lift + floor 1,2,0,mint condition,180,7
111390357,Schwäbisch Hall Kreis,both,580,1996,80,no lift + floor 3,3,1,well kept,150,6
111395672,Göppingen Kreis,balcony,1000,1972,120,no lift + floor 3,5,1,well kept,220,7
111397172,Ravensburg Kreis,balcony,750,2016,73.5,lift + floor 1,2,1,mint condition,220,6
111398936,Heidelberg,none,780,1730,48,lift + floor 1,2,0,mint condition,192,6
111401798,Freiburg im Breisgau,both,900,1978,57.2,lift + floor 4,2,1,refurbished,170,6
111406779,Reutlingen Kreis,balcony,600,1983,50,no lift + floor 1,2,1,well kept,120,7
111411314,Stuttgart,none,990,1980,72,no lift + floor 1,3.5,1,refurbished,239,6
111413223,Esslingen Kreis,balcony,593,1955,56,no lift + floor 0,2,0,refurbished,60,7
111420438,Reutlingen Kreis,balcony,970,2016,84.7,lift + floor 2,2,1,mint condition,215,6
111424770,Konstanz Kreis,balcony,1560,2018,92,lift + floor 2,4,2,mint condition,240,7
111425346,Esslingen Kreis,balcony,620,1954,64,no lift + floor 3,3,0,well kept,40,7
111489942,Ostalbkreis,balcony,1250,2018,100,lift + floor 1,3,2,first time use,230,7
111774184,Freiburg im Breisgau,balcony,950,2019,56.05,lift + floor 1,2,1,mint condition,120,6
111960482,Stuttgart,balcony,1328,2015,86,lift + floor 2,2,1,mint condition,265,7
111967798,Waldshut Kreis,both,432,1994,60,no lift + floor 1,2.5,1,well kept,120,7
111972181,Stuttgart,balcony,1218,2015,74,lift + floor 3,2,1,mint condition,258,7
112146047,Stuttgart,balcony,1240,1800,78,no lift + floor 2,2.5,1,well kept,150,7
112189387,Stuttgart,none,1100,1993,45,lift + floor 1,2,1,refurbished,140,7
112273185,Waldshut Kreis,none,985,2017,115.86,no lift + floor 0,3,1,mint condition,85,6
112313126,Heidelberg,both,1200,1992,90.83,no lift + floor 0,3,2,well kept,360,6
112391490,Waldshut Kreis,balcony,1175,2018,109.5,lift + floor 2,4.5,1,first time use,330,6
